epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
21,2020-05-23,14,AM,Pauini,1303502,city,5,25.7387,0,0,0,0.0,19426,False,False
21,2020-05-23,46,AM,Presidente Figueiredo,1303536,city,319,879.29656,6,12,0,0.0376,36279,False,False
21,2020-05-23,32,AM,Rio Preto da Eva,1303569,city,436,1307.46394,15,9,1,0.0206,33347,False,False
21,2020-05-23,36,AM,Santa Isabel do Rio Negro,1303601,city,24,95.40467,0,1,0,0.0417,25156,False,False
21,2020-05-23,59,AM,Santo Antônio do Içá,1303700,city,582,2694.19498,0,9,0,0.0155,21602,False,False
21,2020-05-23,48,AM,São Gabriel da Cachoeira,1303809,city,648,1422.1754,71,18,1,0.0278,45564,False,False
21,2020-05-23,47,AM,São Paulo de Olivença,1303908,city,340,865.16196,12,9,1,0.0265,39299,False,False
21,2020-05-23,29,AM,São Sebastião do Uatumã,1303957,city,34,242.5107,3,0,0,0.0,14020,False,False
21,2020-05-23,30,AM,Silves,1304005,city,110,1199.433,8,3,0,0.0273,9171,False,False
21,2020-05-23,46,AM,Tabatinga,1304062,city,621,943.13833,8,48,0,0.0773,65844,False,False
21,2020-05-23,30,AM,Tapauá,1304104,city,236,1375.61203,0,3,0,0.0127,17156,False,False
21,2020-05-23,44,AM,Tefé,1304203,city,1270,2122.00705,110,47,1,0.037,59849,False,False
21,2020-05-23,52,AM,Tonantins,1304237,city,135,719.80805,5,10,1,0.0741,18755,False,False
21,2020-05-23,9,AM,Uarini,1304260,city,36,265.87888,10,0,0,0.0,13540,False,False
21,2020-05-23,29,AM,Urucará,1304302,city,143,879.6752,15,2,0,0.014,16256,False,False
21,2020-05-23,28,AM,Urucurituba,1304401,city,58,251.46326,5,1,0,0.0172,23065,False,False
21,2020-05-23,72,AM,,13,state,28802,694.92884,1764,1744,75,0.0606,4144597,False,False
21,2020-05-22,19,AM,Alvarães,1300029,city,44,274.29711,11,3,0,0.0682,16041,False,False
21,2020-05-22,29,AM,Amaturá,1300060,city,183,1586.33842,0,6,0,0.0328,11536,False,False
21,2020-05-22,39,AM,Anamã,1300086,city,101,741.88336,19,0,0,0.0,13614,False,False
21,2020-05-22,55,AM,Anori,1300102,city,194,923.36982,7,3,0,0.0155,21010,False,False
21,2020-05-22,15,AM,Apuí,1300144,city,23,104.67392,1,0,0,0.0,21973,False,False
21,2020-05-22,23,AM,Atalaia do Norte,1300201,city,5,25.09914,1,0,0,0.0,19921,False,False
21,2020-05-22,33,AM,Autazes,1300300,city,378,955.38986,21,22,0,0.0582,39565,False,False
21,2020-05-22,31,AM,Barcelos,1300409,city,236,858.11941,24,10,3,0.0424,27502,False,False
21,2020-05-22,21,AM,Barreirinha,1300508,city,150,468.15018,16,2,0,0.0133,32041,False,False
21,2020-05-22,31,AM,Benjamin Constant,1300607,city,463,1077.14498,107,16,1,0.0346,42984,False,False
21,2020-05-22,32,AM,Beruri,1300631,city,159,807.96788,20,5,0,0.0314,19679,False,False
21,2020-05-22,20,AM,Boa Vista do Ramos,1300680,city,50,260.32176,1,1,0,0.02,19207,False,False
21,2020-05-22,58,AM,Boca do Acre,1300706,city,258,752.01119,16,3,1,0.0116,34308,False,False
